Player,Player ID,Team,Category,Scope,Current,Milestone,Away
Travis Bazzana,683953,CLE,Extra-Base Hits,Season,37,40,3
Dylan Beavers,687637,BAL,Extra-Base Hits,Season,27,30,3
Will Benson,666181,CIN,Extra-Base Hits,Season,7,10,3
Leo Bernal,699024,STL,Extra-Base Hits,Season,7,10,3
Mookie Betts,605141,LAD,Extra-Base Hits,Season,47,50,3
José Caballero,676609,NYY,Extra-Base Hits,Season,27,30,3
Junior Caminero,691406,TB,Extra-Base Hits,Season,67,70,3
Max Clark,703601,DET,Extra-Base Hits,Season,17,20,3
Justin Crawford,702222,PHI,Extra-Base Hits,Season,27,30,3
Chase DeLauter,800050,CLE,Extra-Base Hits,Season,47,50,3
Rodolfo Durán,660710,SD,Extra-Base Hits,Season,7,10,3
Freddy Fermin,666023,SD,Extra-Base Hits,Season,17,20,3
Ty France,664034,SD,Extra-Base Hits,Season,47,50,3
Mitch Garver,641598,SEA,Extra-Base Hits,Season,7,10,3
Denzer Guzman,694203,LAA,Extra-Base Hits,Season,17,20,3
Eric Haase,606992,SF,Extra-Base Hits,Season,7,10,3
Dustin Harris,687957,SD,Extra-Base Hits,Season,7,10,3
Gunnar Henderson,683002,BAL,Extra-Base Hits,Season,57,60,3
Enrique Hernández,571771,LAD,Extra-Base Hits,Season,7,10,3
Derek Hill,656537,PHI,Extra-Base Hits,Season,17,20,3
Turner Hill,806367,SF,Extra-Base Hits,Season,7,10,3
Brady House,691781,WSH,Extra-Base Hits,Season,27,30,3
Jim Jarvis,805347,ATL,Extra-Base Hits,Season,7,10,3
Troy Johnston,687859,COL,Extra-Base Hits,Season,37,40,3
Kyle Karros,691720,COL,Extra-Base Hits,Season,37,40,3
Isiah Kiner-Falefa,643396,BOS,Extra-Base Hits,Season,7,10,3
Alejandro Kirk,672386,TOR,Extra-Base Hits,Season,17,20,3
Nick Kurtz,701762,ATH,Extra-Base Hits,Season,37,40,3
Trevor Larnach,663616,MIN,Extra-Base Hits,Season,37,40,3
Nick Loftin,679845,KC,Extra-Base Hits,Season,37,40,3
Starling Marte,516782,KC,Extra-Base Hits,Season,7,10,3
Wade Meckler,685133,LAA,Extra-Base Hits,Season,17,20,3
Jackson Merrill,701538,SD,Extra-Base Hits,Season,57,60,3
Sean Murphy,669221,ATL,Extra-Base Hits,Season,7,10,3
Kazuma Okamoto,672960,TOR,Extra-Base Hits,Season,57,60,3
Joey Ortiz,687401,MIL,Extra-Base Hits,Season,27,30,3
Vinnie Pasquantino,686469,KC,Extra-Base Hits,Season,37,40,3
Blake Perkins,663368,MIL,Extra-Base Hits,Season,7,10,3
Tristan Peters,671976,CWS,Extra-Base Hits,Season,47,50,3
Jorge Polanco,593871,NYM,Extra-Base Hits,Season,7,10,3
Amed Rosario,642708,NYY,Extra-Base Hits,Season,17,20,3
Javier Sanoja,691594,MIA,Extra-Base Hits,Season,47,50,3
Daniel Schneemann,682177,CLE,Extra-Base Hits,Season,17,20,3
Tyler Stephenson,663886,CIN,Extra-Base Hits,Season,37,40,3
Sal Stewart,701398,CIN,Extra-Base Hits,Season,57,60,3
Colby Thomas,687515,ATH,Extra-Base Hits,Season,7,10,3
Bryan Torres,663494,STL,Extra-Base Hits,Season,7,10,3
Ramón Urías,602104,STL,Extra-Base Hits,Season,7,10,3
Brandon Valenzuela,678218,TOR,Extra-Base Hits,Season,17,20,3
Zac Veen,691728,COL,Extra-Base Hits,Season,7,10,3
Matt Wallner,670242,MIN,Extra-Base Hits,Season,7,10,3
Ryan Ward,669899,LAD,Extra-Base Hits,Season,7,10,3
Kahlil Watson,696135,CLE,Extra-Base Hits,Season,7,10,3
Shay Whitcomb,694376,SF,Extra-Base Hits,Season,7,10,3
Christian Yelich,592885,MIL,Extra-Base Hits,Season,37,40,3
Michael Conforto,624424,CHC,Hits,Career,997,1000,3
Mitch Garver,641598,SEA,Hits,Career,497,500,3
Jake McCarthy,664983,COL,Hits,Career,497,500,3
Wilyer Abreu,677800,BOS,Hits,Season,147,150,3
Max Clark,703601,DET,Hits,Season,47,50,3
Jasson Domínguez,691176,NYY,Hits,Season,47,50,3
Brenton Doyle,686668,CWS,Hits,Season,47,50,3
Rhys Hoskins,656555,CLE,Hits,Season,47,50,3
Angel Martínez,682657,CLE,Hits,Season,97,100,3
Julio Rodríguez,677594,SEA,Hits,Season,147,150,3
Tyler Soderstrom,691016,ATH,Hits,Season,97,100,3
Samad Taylor,669392,SD,Hits,Season,47,50,3
Miguel Vargas,678246,CWS,Hits,Season,147,150,3
Eli White,642201,BOS,Hits,Season,47,50,3
Jo Adell,666176,CLE,Home Runs,Career,97,100,3
Riley Greene,682985,DET,Home Runs,Career,97,100,3
Ian Happ,664023,CHC,Home Runs,Career,197,200,3
José Ramírez,608070,CLE,Home Runs,Career,297,300,3
Joshua Báez,695491,STL,Home Runs,Season,7,10,3
Dylan Beavers,687637,BAL,Home Runs,Season,7,10,3
Cody Bellinger,641355,NYY,Home Runs,Season,17,20,3
Bo Bichette,666182,NYM,Home Runs,Season,17,20,3
Jake Burger,669394,TEX,Home Runs,Season,27,30,3
Lawrence Butler,671732,ATH,Home Runs,Season,17,20,3
Victor Caratini,605170,MIN,Home Runs,Season,7,10,3
Matt Chapman,656305,SF,Home Runs,Season,7,10,3
Griffin Conine,665052,MIA,Home Runs,Season,17,20,3
Willson Contreras,575929,BOS,Home Runs,Season,27,30,3
Jake Cronenworth,630105,SD,Home Runs,Season,7,10,3
Rafael Devers,646240,SF,Home Runs,Season,37,40,3
Elias Díaz,553869,TEX,Home Runs,Season,7,10,3
Dillon Dingler,693307,DET,Home Runs,Season,27,30,3
Ezequiel Duran,677649,TEX,Home Runs,Season,17,20,3
Bryce Eldridge,805811,SF,Home Runs,Season,17,20,3
David Fry,681807,CLE,Home Runs,Season,7,10,3
Adolis García,666969,PHI,Home Runs,Season,7,10,3
Kyle Higashioka,543309,TEX,Home Runs,Season,7,10,3
Jackson Holliday,702616,BAL,Home Runs,Season,7,10,3
Wyatt Langford,694671,TEX,Home Runs,Season,17,20,3
Ramón Laureano,657656,SD,Home Runs,Season,7,10,3
George Lombard Jr.,806146,NYY,Home Runs,Season,7,10,3
Nathaniel Lowe,663993,CLE,Home Runs,Season,17,20,3
Brice Matthews,694728,HOU,Home Runs,Season,7,10,3
Kevin McGonigle,805808,DET,Home Runs,Season,17,20,3
Curtis Mead,678554,BOS,Home Runs,Season,17,20,3
Lars Nootbaar,663457,AZ,Home Runs,Season,7,10,3
Connor Norby,681393,COL,Home Runs,Season,7,10,3
Oswald Peraza,672724,LAA,Home Runs,Season,7,10,3
Wenceel Pérez,672761,DET,Home Runs,Season,7,10,3
Bryan Reynolds,668804,PIT,Home Runs,Season,17,20,3
Endy Rodríguez,682848,PIT,Home Runs,Season,7,10,3
Drew Romo,691011,CWS,Home Runs,Season,7,10,3
Nolan Schanuel,694384,LAA,Home Runs,Season,7,10,3
Juan Soto,665742,NYM,Home Runs,Season,27,30,3
Brett Sullivan,664954,COL,Home Runs,Season,7,10,3
José Tena,677588,WSH,Home Runs,Season,7,10,3
Kyle Tucker,663656,LAD,Home Runs,Season,17,20,3
Esmerlyn Valdez,699013,PIT,Home Runs,Season,17,20,3
Christian Vázquez,543877,HOU,Home Runs,Season,7,10,3
Christian Walker,572233,HOU,Home Runs,Season,27,30,3
Taylor Ward,621493,SEA,Home Runs,Season,7,10,3
JJ Wetherholt,802139,STL,Home Runs,Season,17,20,3
Jacob Wilson,805779,ATH,Home Runs,Season,7,10,3
Cole Young,702284,SEA,Home Runs,Season,17,20,3
Luisangel Acuña,682668,CWS,Stolen Bases,Season,17,20,3
Byron Buxton,621439,MIN,Stolen Bases,Season,7,10,3
Jac Caglianone,695506,KC,Stolen Bases,Season,7,10,3
Evan Carter,694497,TEX,Stolen Bases,Season,17,20,3
Ernie Clement,676391,TOR,Stolen Bases,Season,7,10,3
Jonny DeLuca,676356,TB,Stolen Bases,Season,17,20,3
Freddie Freeman,518692,LAD,Stolen Bases,Season,7,10,3
Sal Frelick,686217,MIL,Stolen Bases,Season,7,10,3
Nick Gonzales,693304,PIT,Stolen Bases,Season,7,10,3
Vladimir Guerrero Jr.,665489,TOR,Stolen Bases,Season,7,10,3
Bryce Harper,547180,PHI,Stolen Bases,Season,7,10,3
Nick Kurtz,701762,ATH,Stolen Bases,Season,7,10,3
Ramón Laureano,657656,SD,Stolen Bases,Season,7,10,3
Noelvi Marte,682622,CIN,Stolen Bases,Season,7,10,3
Brandon Nimmo,607043,TEX,Stolen Bases,Season,7,10,3
Richie Palacios,680700,TB,Stolen Bases,Season,17,20,3
Ceddanne Rafaela,678882,BOS,Stolen Bases,Season,17,20,3
José Ramírez,608070,CLE,Stolen Bases,Season,37,40,3
John Rave,670231,KC,Stolen Bases,Season,7,10,3
Myles Straw,664702,TOR,Stolen Bases,Season,7,10,3
Dansby Swanson,621020,CHC,Stolen Bases,Season,17,20,3
Ryan Waldschmidt,814439,AZ,Stolen Bases,Season,7,10,3
Willy Adames,642715,SF,Total Bases,Season,197,200,3
Justin Crawford,702222,PHI,Total Bases,Season,147,150,3
Christian Encarnacion-Strand,687952,BAL,Total Bases,Season,97,100,3
Jeremiah Jackson,669236,BAL,Total Bases,Season,97,100,3
Joey Ortiz,687401,MIL,Total Bases,Season,147,150,3
Freddie Freeman,518692,LAD,Extra-Base Hits,Career,996,1000,4
Sandy León,506702,ATL,Extra-Base Hits,Career,96,100,4
Nathaniel Lowe,663993,CLE,Extra-Base Hits,Career,296,300,4
Cedric Mullins,656775,TB,Extra-Base Hits,Career,296,300,4
Joey Ortiz,687401,MIL,Extra-Base Hits,Career,96,100,4
Brayan Rocchio,677587,CLE,Extra-Base Hits,Career,96,100,4
CJ Abrams,682928,WSH,Extra-Base Hits,Season,66,70,4
Miguel Amaya,665804,CHC,Extra-Base Hits,Season,16,20,4
Roman Anthony,701350,BOS,Extra-Base Hits,Season,16,20,4
Sam Antonacci,803011,CWS,Extra-Base Hits,Season,36,40,4
Luis Arraez,650333,PHI,Extra-Base Hits,Season,46,50,4
Victor Caratini,605170,MIN,Extra-Base Hits,Season,16,20,4
Cole Carrigg,694249,COL,Extra-Base Hits,Season,36,40,4
Willi Castro,650489,COL,Extra-Base Hits,Season,36,40,4
Matt Chapman,656305,SF,Extra-Base Hits,Season,26,30,4
William Contreras,661388,MIL,Extra-Base Hits,Season,46,50,4
Henry Davis,680779,PIT,Extra-Base Hits,Season,16,20,4
Bryan De La Cruz,650559,PHI,Extra-Base Hits,Season,6,10,4
Dillon Dingler,693307,DET,Extra-Base Hits,Season,56,60,4
J.C. Escarra,641555,NYY,Extra-Base Hits,Season,6,10,4
Rafael Flores Jr.,804668,PIT,Extra-Base Hits,Season,16,20,4
Adolis García,666969,PHI,Extra-Base Hits,Season,16,20,4
Maikel Garcia,672580,KC,Extra-Base Hits,Season,26,30,4
Angel Genao,694197,CLE,Extra-Base Hits,Season,6,10,4
Austin Hays,669720,SD,Extra-Base Hits,Season,6,10,4
Rhys Hoskins,656555,CLE,Extra-Base Hits,Season,26,30,4
Kyle Isbel,664728,KC,Extra-Base Hits,Season,16,20,4
Danny Jansen,643376,TEX,Extra-Base Hits,Season,16,20,4
Walker Jenkins,805805,MIN,Extra-Base Hits,Season,6,10,4
Leo Jiménez,677870,MIA,Extra-Base Hits,Season,6,10,4
Andrew Knizner,668800,SF,Extra-Base Hits,Season,6,10,4
Steven Kwan,680757,CLE,Extra-Base Hits,Season,26,30,4
Francisco Lindor,596019,NYM,Extra-Base Hits,Season,36,40,4
Nicky Lopez,670032,TEX,Extra-Base Hits,Season,6,10,4
Jake Mangum,663968,PIT,Extra-Base Hits,Season,26,30,4
Jakob Marsee,805300,MIA,Extra-Base Hits,Season,36,40,4
Chase Meidroth,805367,CWS,Extra-Base Hits,Season,46,50,4
Drew Millas,686452,WSH,Extra-Base Hits,Season,6,10,4
Mickey Moniak,666160,COL,Extra-Base Hits,Season,46,50,4
Christian Moore,695681,LAA,Extra-Base Hits,Season,6,10,4
Max Muncy,571970,LAD,Extra-Base Hits,Season,56,60,4
Alejandro Osuna,696030,TEX,Extra-Base Hits,Season,6,10,4
Geraldo Perdomo,672695,AZ,Extra-Base Hits,Season,36,40,4
Agustín Ramírez,682663,MIA,Extra-Base Hits,Season,16,20,4
Heliot Ramos,671218,NYY,Extra-Base Hits,Season,36,40,4
Luis Rengifo,650859,SD,Extra-Base Hits,Season,16,20,4
Gabriel Rincones Jr.,687282,PHI,Extra-Base Hits,Season,6,10,4
Luis Robert Jr.,673357,BAL,Extra-Base Hits,Season,16,20,4
Josh Rojas,668942,KC,Extra-Base Hits,Season,6,10,4
Jesús Sánchez,660821,AZ,Extra-Base Hits,Season,26,30,4
Victor Scott II,687363,STL,Extra-Base Hits,Season,6,10,4
Anthony Seigler,678011,BOS,Extra-Base Hits,Season,16,20,4
Brian Serven,661531,ATH,Extra-Base Hits,Season,6,10,4
Matt Shaw,807713,CHC,Extra-Base Hits,Season,16,20,4
Pavin Smith,656976,AZ,Extra-Base Hits,Season,6,10,4
Tyrone Taylor,621438,CHC,Extra-Base Hits,Season,26,30,4
Sterlin Thompson,694514,COL,Extra-Base Hits,Season,6,10,4
Luis Urías,649966,TOR,Extra-Base Hits,Season,6,10,4
Andrew Vaughn,683734,MIL,Extra-Base Hits,Season,26,30,4
Eli White,642201,BOS,Extra-Base Hits,Season,16,20,4
Gage Workman,669398,SD,Extra-Base Hits,Season,6,10,4
Luisangel Acuña,682668,CWS,Hits,Season,46,50,4
Ozzie Albies,645277,ATL,Hits,Season,146,150,4
Jackson Chourio,694192,MIL,Hits,Season,146,150,4
Blaze Jordan,691458,STL,Hits,Season,46,50,4
Wyatt Langford,694671,TEX,Hits,Season,96,100,4
Luis Lara,800325,MIL,Hits,Season,46,50,4
Brooks Lee,686797,MIN,Hits,Season,146,150,4
Daylen Lile,695734,WSH,Hits,Season,146,150,4
Mickey Moniak,666160,COL,Hits,Season,96,100,4
Heliot Ramos,671218,NYY,Hits,Season,96,100,4
Gary Sánchez,596142,MIL,Hits,Season,46,50,4
Javier Báez,595879,DET,Home Runs,Career,196,200,4
Sean Murphy,669221,ATL,Home Runs,Career,96,100,4
Jose Altuve,514888,HOU,Home Runs,Season,16,20,4
Francisco Alvarez,682626,NYM,Home Runs,Season,16,20,4
Miguel Amaya,665804,CHC,Home Runs,Season,6,10,4
Randy Arozarena,668227,SEA,Home Runs,Season,26,30,4
Luis Arraez,650333,PHI,Home Runs,Season,6,10,4
Jake Bauers,641343,MIL,Home Runs,Season,26,30,4
Alex Bregman,608324,CHC,Home Runs,Season,26,30,4
Kody Clemens,665019,MIN,Home Runs,Season,26,30,4
Isaac Collins,686555,KC,Home Runs,Season,6,10,4
Jasson Domínguez,691176,NYY,Home Runs,Season,6,10,4
Xavier Edwards,669364,MIA,Home Runs,Season,6,10,4
José Fermín,665877,STL,Home Runs,Season,6,10,4
Freddie Freeman,518692,LAD,Home Runs,Season,16,20,4
Nick Gonzales,693304,PIT,Home Runs,Season,6,10,4
Jacob Gonzalez,694378,PIT,Home Runs,Season,6,10,4
Michael Harris II,671739,ATL,Home Runs,Season,26,30,4
Kyle Isbel,664728,KC,Home Runs,Season,6,10,4
Danny Jansen,643376,TEX,Home Runs,Season,6,10,4
Jahmai Jones,663330,BOS,Home Runs,Season,6,10,4
Noelvi Marte,682622,CIN,Home Runs,Season,6,10,4
James McCann,543510,AZ,Home Runs,Season,6,10,4
Chase Meidroth,805367,CWS,Home Runs,Season,16,20,4
Jackson Merrill,701538,SD,Home Runs,Season,26,30,4
Andruw Monasterio,655316,BOS,Home Runs,Season,6,10,4
Braden Montgomery,695731,CWS,Home Runs,Season,6,10,4
Gabriel Moreno,672515,AZ,Home Runs,Season,16,20,4
Zach Neto,687263,LAA,Home Runs,Season,26,30,4
Joc Pederson,592626,TEX,Home Runs,Season,26,30,4
Ceddanne Rafaela,678882,BOS,Home Runs,Season,16,20,4
Pedro Ramírez,699393,CHC,Home Runs,Season,6,10,4
John Rave,670231,KC,Home Runs,Season,6,10,4
Héctor Rodríguez,699302,CIN,Home Runs,Season,6,10,4
Esteury Ruiz,665923,MIA,Home Runs,Season,6,10,4
Daniel Schneemann,682177,CLE,Home Runs,Season,6,10,4
Gavin Sheets,657757,SD,Home Runs,Season,16,20,4
Josh Smith,669701,TOR,Home Runs,Season,6,10,4
Spencer Steer,668715,CIN,Home Runs,Season,16,20,4
Seiya Suzuki,673548,CHC,Home Runs,Season,26,30,4
Eduardo Valencia,680664,DET,Home Runs,Season,6,10,4
Andrew Vaughn,683734,MIL,Home Runs,Season,6,10,4
Nelson Velázquez,676369,HOU,Home Runs,Season,6,10,4
Eli White,642201,BOS,Home Runs,Season,6,10,4
JJ Bleday,668709,CIN,Stolen Bases,Season,6,10,4
Jase Bowen,687749,SD,Stolen Bases,Season,6,10,4
Billy Cook,695257,PIT,Stolen Bases,Season,6,10,4
Justin Crawford,702222,PHI,Stolen Bases,Season,16,20,4
Blake Dunn,694362,CIN,Stolen Bases,Season,6,10,4
Tommy Edman,669242,LAD,Stolen Bases,Season,6,10,4
Tyler Freeman,671289,COL,Stolen Bases,Season,6,10,4
Zack Gelof,680869,ATH,Stolen Bases,Season,16,20,4
Kyle Isbel,664728,KC,Stolen Bases,Season,6,10,4
Colt Keith,690993,DET,Stolen Bases,Season,6,10,4
Brandon Lockridge,663604,MIL,Stolen Bases,Season,6,10,4
Curtis Mead,678554,BOS,Stolen Bases,Season,6,10,4
Jackson Merrill,701538,SD,Stolen Bases,Season,26,30,4
Gabriel Moreno,672515,AZ,Stolen Bases,Season,6,10,4
James Outman,681546,DET,Stolen Bases,Season,6,10,4
Luis Rengifo,650859,SD,Stolen Bases,Season,6,10,4
Endy Rodríguez,682848,PIT,Stolen Bases,Season,6,10,4
Daniel Schneemann,682177,CLE,Stolen Bases,Season,6,10,4
Chandler Simpson,802415,TB,Stolen Bases,Season,46,50,4
Bryson Stott,681082,PHI,Stolen Bases,Season,26,30,4
José Tena,677588,WSH,Stolen Bases,Season,6,10,4
Weston Wilson,642215,SEA,Stolen Bases,Season,6,10,4
Nolan Arenado,571448,AZ,Total Bases,Season,246,250,4
Patrick Bailey,672275,CLE,Total Bases,Season,96,100,4
Drake Baldwin,686948,ATL,Total Bases,Season,246,250,4
Samuel Basallo,694212,BAL,Total Bases,Season,146,150,4
Kerry Carpenter,681481,DET,Total Bases,Season,96,100,4
Matt McLain,680574,CIN,Total Bases,Season,146,150,4
Jake Meyers,676694,HOU,Total Bases,Season,46,50,4
Keibert Ruiz,660688,WSH,Total Bases,Season,146,150,4
Will Smith,669257,LAD,Total Bases,Season,96,100,4
JJ Wetherholt,802139,STL,Total Bases,Season,196,200,4
Ronald Acuña Jr.,660670,ATL,Extra-Base Hits,Career,395,400,5
Patrick Bailey,672275,CLE,Extra-Base Hits,Career,95,100,5
Spencer Horwitz,687462,PIT,Extra-Base Hits,Career,95,100,5
Rhys Hoskins,656555,CLE,Extra-Base Hits,Career,395,400,5
Wilyer Abreu,677800,BOS,Extra-Base Hits,Season,65,70,5
Luisangel Acuña,682668,CWS,Extra-Base Hits,Season,5,10,5
Pete Alonso,624413,BAL,Extra-Base Hits,Season,65,70,5
Yordan Alvarez,670541,HOU,Extra-Base Hits,Season,75,80,5
Edwin Arroyo,695490,CIN,Extra-Base Hits,Season,5,10,5
Javier Báez,595879,DET,Extra-Base Hits,Season,15,20,5
Drake Baldwin,686948,ATL,Extra-Base Hits,Season,45,50,5
Jorge Barrosa,678489,HOU,Extra-Base Hits,Season,15,20,5
Cody Bellinger,641355,NYY,Extra-Base Hits,Season,45,50,5
Alec Bohm,664761,PHI,Extra-Base Hits,Season,45,50,5
Jase Bowen,687749,SD,Extra-Base Hits,Season,5,10,5
Brett Callahan,814430,DET,Extra-Base Hits,Season,5,10,5
Evan Carter,694497,TEX,Extra-Base Hits,Season,25,30,5
Cam Cauley,695508,TEX,Extra-Base Hits,Season,5,10,5
Kody Clemens,665019,MIN,Extra-Base Hits,Season,55,60,5
Griffin Conine,665052,MIA,Extra-Base Hits,Season,25,30,5
J.P. Crawford,641487,SEA,Extra-Base Hits,Season,25,30,5
Oneil Cruz,665833,PIT,Extra-Base Hits,Season,35,40,5
Josue De Paula,800543,LAD,Extra-Base Hits,Season,5,10,5
Zach Dezenzo,701305,HOU,Extra-Base Hits,Season,5,10,5
Colt Emerson,806068,SEA,Extra-Base Hits,Season,15,20,5
Justin Foscue,679822,TEX,Extra-Base Hits,Season,25,30,5
Braxton Fulford,690924,COL,Extra-Base Hits,Season,5,10,5
Andrés Giménez,665926,TOR,Extra-Base Hits,Season,35,40,5
Jacob Gonzalez,694378,PIT,Extra-Base Hits,Season,15,20,5
Romy Gonzalez,663853,BOS,Extra-Base Hits,Season,5,10,5
Nolan Gorman,669357,STL,Extra-Base Hits,Season,15,20,5
Vaughn Grissom,687093,LAA,Extra-Base Hits,Season,35,40,5
Ian Happ,664023,CHC,Extra-Base Hits,Season,55,60,5
Austin Hedges,595978,CLE,Extra-Base Hits,Season,15,20,5
Tyler Heineman,623168,LAA,Extra-Base Hits,Season,5,10,5
Iván Herrera,671056,STL,Extra-Base Hits,Season,45,50,5
Brewer Hicklen,676551,ATL,Extra-Base Hits,Season,5,10,5
Rece Hinds,677956,BAL,Extra-Base Hits,Season,5,10,5
Alex Jackson,656577,MIN,Extra-Base Hits,Season,5,10,5
Spencer Jones,682987,NYY,Extra-Base Hits,Season,25,30,5
Blaze Jordan,691458,STL,Extra-Base Hits,Season,15,20,5
Carson Kelly,608348,CHC,Extra-Base Hits,Season,25,30,5
Hyeseong Kim,808975,LAD,Extra-Base Hits,Season,5,10,5
Ramón Laureano,657656,SD,Extra-Base Hits,Season,15,20,5
Jung Hoo Lee,808982,SF,Extra-Base Hits,Season,45,50,5
Ketel Marte,606466,AZ,Extra-Base Hits,Season,55,60,5
Coby Mayo,691723,BAL,Extra-Base Hits,Season,45,50,5
Charles McAdoo,807727,TOR,Extra-Base Hits,Season,5,10,5
Grant McCray,687529,SF,Extra-Base Hits,Season,5,10,5
Curtis Mead,678554,BOS,Extra-Base Hits,Season,35,40,5
Garrett Mitchell,669003,MIL,Extra-Base Hits,Season,45,50,5
Yoán Moncada,660162,LAA,Extra-Base Hits,Season,5,10,5
Lazaro Montes,703155,SEA,Extra-Base Hits,Season,5,10,5
Braden Montgomery,695731,CWS,Extra-Base Hits,Season,25,30,5
Colson Montgomery,695657,CWS,Extra-Base Hits,Season,55,60,5
Christopher Morel,666624,NYM,Extra-Base Hits,Season,5,10,5
Bo Naylor,666310,MIL,Extra-Base Hits,Season,5,10,5
Ryan O'Hearn,656811,PIT,Extra-Base Hits,Season,35,40,5
Matt Olson,621566,ATL,Extra-Base Hits,Season,75,80,5
Marcell Ozuna,542303,PIT,Extra-Base Hits,Season,15,20,5
Richie Palacios,680700,TB,Extra-Base Hits,Season,25,30,5
Luke Raley,670042,SEA,Extra-Base Hits,Season,25,30,5
John Rave,670231,KC,Extra-Base Hits,Season,15,20,5
Rob Refsnyder,608701,SEA,Extra-Base Hits,Season,5,10,5
Victor Robles,645302,SEA,Extra-Base Hits,Season,5,10,5
Alan Roden,702176,MIN,Extra-Base Hits,Season,5,10,5
Emmanuel Rodriguez,691181,MIN,Extra-Base Hits,Season,5,10,5
Jesus Rodriguez,683679,SF,Extra-Base Hits,Season,5,10,5
Kyle Schwarber,656941,PHI,Extra-Base Hits,Season,65,70,5
Corey Seager,608369,TEX,Extra-Base Hits,Season,35,40,5
Dominic Smith,642086,ATL,Extra-Base Hits,Season,15,20,5
Sung-Mun Song,823550,SD,Extra-Base Hits,Season,5,10,5
Tim Tawa,694374,AZ,Extra-Base Hits,Season,25,30,5
Jared Triolo,669707,PIT,Extra-Base Hits,Season,15,20,5
Miguel Vargas,678246,CWS,Extra-Base Hits,Season,65,70,5
Alika Williams,675961,ATH,Extra-Base Hits,Season,25,30,5
Connor Wong,657136,BOS,Extra-Base Hits,Season,15,20,5
Nick Yorke,694377,PIT,Extra-Base Hits,Season,5,10,5
Jacob Young,696285,WSH,Extra-Base Hits,Season,35,40,5
Ernie Clement,676391,TOR,Hits,Career,495,500,5
José Caballero,676609,NYY,Hits,Season,95,100,5
Xavier Edwards,669364,MIA,Hits,Season,145,150,5
Freddy Fermin,666023,SD,Hits,Season,45,50,5
Adolis García,666969,PHI,Hits,Season,45,50,5
Jacob Gonzalez,694378,PIT,Hits,Season,45,50,5
Iván Herrera,671056,STL,Hits,Season,145,150,5
Marcelo Mayer,691785,SF,Hits,Season,45,50,5
Zach Neto,687263,LAA,Hits,Season,145,150,5
Luis Robert Jr.,673357,BAL,Hits,Season,45,50,5
Esteury Ruiz,665923,MIA,Hits,Season,45,50,5
Seiya Suzuki,673548,CHC,Hits,Season,145,150,5
Tommy White,695720,ATH,Hits,Season,45,50,5
Eloy Jiménez,650391,TOR,Home Runs,Career,95,100,5
Miguel Andujar,609280,SD,Home Runs,Season,5,10,5
Roman Anthony,701350,BOS,Home Runs,Season,5,10,5
Gabriel Arias,672356,CHC,Home Runs,Season,5,10,5
Harrison Bader,664056,SF,Home Runs,Season,5,10,5
Osleivis Basabe,678545,SF,Home Runs,Season,5,10,5
Travis Bazzana,683953,CLE,Home Runs,Season,15,20,5
Victor Bericoto,682674,SF,Home Runs,Season,5,10,5
Alec Bohm,664761,PHI,Home Runs,Season,15,20,5
Byron Buxton,621439,MIN,Home Runs,Season,25,30,5
Willi Castro,650489,COL,Home Runs,Season,15,20,5
Jackson Chourio,694192,MIL,Home Runs,Season,25,30,5
Michael Conforto,624424,CHC,Home Runs,Season,15,20,5
Jimmy Crooks,699625,STL,Home Runs,Season,5,10,5
Pete Crow-Armstrong,691718,CHC,Home Runs,Season,45,50,5
Chase DeLauter,800050,CLE,Home Runs,Season,15,20,5
Adrian Del Castillo,680728,AZ,Home Runs,Season,5,10,5
Nick Fortes,663743,TB,Home Runs,Season,5,10,5
Konnor Griffin,804606,PIT,Home Runs,Season,5,10,5
Ke'Bryan Hayes,663647,CIN,Home Runs,Season,5,10,5
Austin Hedges,595978,CLE,Home Runs,Season,5,10,5
Teoscar Hernández,606192,LAD,Home Runs,Season,15,20,5
Carter Jensen,695600,KC,Home Runs,Season,25,30,5
Jordan Lawlar,691783,AZ,Home Runs,Season,5,10,5
Ben Malgeri,701162,DET,Home Runs,Season,5,10,5
Jake Mangum,663968,PIT,Home Runs,Season,5,10,5
Jorge Mateo,622761,TB,Home Runs,Season,5,10,5
Jake McCarthy,664983,COL,Home Runs,Season,15,20,5
Matt McLain,680574,CIN,Home Runs,Season,15,20,5
Cedric Mullins,656775,TB,Home Runs,Season,15,20,5
Abimelec Ortiz,694673,WSH,Home Runs,Season,5,10,5
James Outman,681546,DET,Home Runs,Season,5,10,5
Vinnie Pasquantino,686469,KC,Home Runs,Season,15,20,5
Everson Pereira,677592,STL,Home Runs,Season,5,10,5
Yohendrick Piñango,682818,TOR,Home Runs,Season,5,10,5
Luke Raley,670042,SEA,Home Runs,Season,15,20,5
Agustín Ramírez,682663,MIA,Home Runs,Season,5,10,5
TJ Rumfield,681198,COL,Home Runs,Season,15,20,5
Davis Schneider,676914,TOR,Home Runs,Season,5,10,5
Kyle Schwarber,656941,PHI,Home Runs,Season,45,50,5
Marcus Semien,543760,NYM,Home Runs,Season,15,20,5
Brian Serven,661531,ATH,Home Runs,Season,5,10,5
Matt Shaw,807713,CHC,Home Runs,Season,5,10,5
Nick Sogard,686765,BOS,Home Runs,Season,5,10,5
George Springer,543807,TOR,Home Runs,Season,15,20,5
Tyler Stephenson,663886,CIN,Home Runs,Season,15,20,5
Trevor Story,596115,BOS,Home Runs,Season,5,10,5
