Player,Player ID,Team,Category,Scope,Current,Milestone,Away
George Springer,543807,TOR,Extra-Base Hits,Season,39,40,1
Giancarlo Stanton,519317,NYY,Extra-Base Hits,Season,9,10,1
Trevor Story,596115,BOS,Extra-Base Hits,Season,19,20,1
Fernando Tatis Jr.,665487,SD,Extra-Base Hits,Season,59,60,1
Eduardo Valencia,680664,DET,Extra-Base Hits,Season,19,20,1
Jorbit Vivas,678391,WSH,Extra-Base Hits,Season,19,20,1
Joey Wiemer,686894,WSH,Extra-Base Hits,Season,9,10,1
Weston Wilson,642215,SEA,Extra-Base Hits,Season,9,10,1
Jared Young,676724,NYM,Extra-Base Hits,Season,29,30,1
CJ Abrams,682928,WSH,Hits,Season,149,150,1
Andrés Chaparro,665953,WSH,Hits,Season,49,50,1
Zack Gelof,680869,ATH,Hits,Season,99,100,1
Nolan Gorman,669357,STL,Hits,Season,49,50,1
Vaughn Grissom,687093,LAA,Hits,Season,99,100,1
Edouard Julien,666397,COL,Hits,Season,49,50,1
Colt Keith,690993,DET,Hits,Season,99,100,1
Steven Kwan,680757,CLE,Hits,Season,149,150,1
Jung Hoo Lee,808982,SF,Hits,Season,149,150,1
Tyler O'Neill,641933,BAL,Hits,Season,49,50,1
Tyler Stephenson,663886,CIN,Hits,Season,99,100,1
Brett Sullivan,664954,COL,Hits,Season,49,50,1
Taylor Trammell,666211,HOU,Hits,Season,49,50,1
Willson Contreras,575929,BOS,Home Runs,Career,199,200,1
Michael Harris II,671739,ATL,Home Runs,Career,99,100,1
Rhys Hoskins,656555,CLE,Home Runs,Career,199,200,1
Francisco Lindor,596019,NYM,Home Runs,Career,299,300,1
Nolan Arenado,571448,AZ,Home Runs,Season,29,30,1
Moisés Ballesteros,694208,LAA,Home Runs,Season,9,10,1
Carson Benge,701807,NYM,Home Runs,Season,19,20,1
Evan Carter,694497,TEX,Home Runs,Season,9,10,1
Jazz Chisholm Jr.,665862,NYY,Home Runs,Season,19,20,1
Ernie Clement,676391,TOR,Home Runs,Season,9,10,1
Jonny DeLuca,676356,TB,Home Runs,Season,9,10,1
Andrés Giménez,665926,TOR,Home Runs,Season,9,10,1
Hunter Goodman,696100,COL,Home Runs,Season,39,40,1
Nolan Gorman,669357,STL,Home Runs,Season,9,10,1
Vladimir Guerrero Jr.,665489,TOR,Home Runs,Season,9,10,1
Jeremiah Jackson,669236,BAL,Home Runs,Season,9,10,1
Manny Machado,592518,SD,Home Runs,Season,29,30,1
Jeff McNeil,643446,ATH,Home Runs,Season,9,10,1
Max Muncy,571970,LAD,Home Runs,Season,29,30,1
Max Muncy,691777,ATH,Home Runs,Season,9,10,1
Joey Ortiz,687401,MIL,Home Runs,Season,9,10,1
Geraldo Perdomo,672695,AZ,Home Runs,Season,9,10,1
Austin Riley,663586,ATL,Home Runs,Season,19,20,1
