player_id,name,team,stolen_bases,caught_stealing,sb_pct,sb_opportunities
687263,Zach Neto,LAA,11,7,61.1,0
680574,Matt McLain,CIN,11,2,84.6,0
703607,Henry Bolte,ATH,10,3,76.9,0
691023,Jordan Walker,STL,10,4,71.4,0
678882,Ceddanne Rafaela,BOS,10,6,62.5,0
682829,Elly De La Cruz,CIN,10,5,66.7,0
641355,Cody Bellinger,NYY,10,4,71.4,0
678246,Miguel Vargas,CWS,10,2,83.3,0
665926,Andrés Giménez,TOR,10,2,83.3,0
593428,Xander Bogaerts,SD,10,1,90.9,0
621020,Dansby Swanson,CHC,10,0,100.0,0
694497,Evan Carter,TEX,10,0,100.0,0
682998,Corbin Carroll,AZ,9,2,81.8,0
672724,Oswald Peraza,LAA,9,2,81.8,0
665750,Leody Taveras,BAL,9,3,75.0,0
702222,Justin Crawford,PHI,9,3,75.0,0
682657,Angel Martínez,CLE,9,2,81.8,0
701358,Cam Smith,HOU,9,1,90.0,0
686668,Brenton Doyle,COL,9,2,81.8,0
687363,Victor Scott II,STL,9,4,69.2,0
669016,Brandon Marsh,PHI,8,3,72.7,0
677942,Blaze Alexander,BAL,8,3,72.7,0
665161,Jeremy Peña,HOU,8,1,88.9,0
680869,Zack Gelof,ATH,8,1,88.9,0
805999,A.J. Ewing,NYM,8,5,61.5,0
681624,Andy Pages,LAD,8,6,57.1,0
802139,JJ Wetherholt,STL,8,0,100.0,0
668885,Austin Martin,MIN,8,5,61.5,0
696285,Jacob Young,WSH,8,2,80.0,0
669477,Casey Schmitt,SF,7,1,87.5,0
701762,Nick Kurtz,ATH,7,1,87.5,0
643396,Isiah Kiner-Falefa,BOS,7,2,77.8,0
621439,Byron Buxton,MIN,7,0,100.0,0
676356,Jonny DeLuca,TB,7,2,77.8,0
622761,Jorge Mateo,ATL,7,1,87.5,0
662139,Daulton Varsho,TOR,7,0,100.0,0
699912,Jose Fernandez,AZ,7,2,77.8,0
683011,Anthony Volpe,NYY,7,3,70.0,0
695734,Daylen Lile,WSH,7,5,58.3,0
656537,Derek Hill,PHI,7,4,63.6,0
686475,Tyler Tolbert,KC,7,2,77.8,0
545361,Mike Trout,LAA,7,0,100.0,0
680700,Richie Palacios,TB,7,5,58.3,0
702332,Caleb Durbin,BOS,7,3,70.0,0
657656,Ramón Laureano,SD,7,2,77.8,0
669392,Samad Taylor,SD,6,1,85.7,0
650333,Luis Arraez,SF,6,0,100.0,0
665742,Juan Soto,NYM,6,3,66.7,0
694192,Jackson Chourio,MIL,6,1,85.7,0
660271,Shohei Ohtani,LAD,6,2,75.0,0
694362,Blake Dunn,CIN,6,3,66.7,0
694671,Wyatt Langford,TEX,6,0,100.0,0
650489,Willi Castro,COL,6,4,60.0,0
665489,Vladimir Guerrero Jr.,TOR,6,1,85.7,0
677800,Wilyer Abreu,BOS,6,2,75.0,0
677649,Ezequiel Duran,TEX,6,1,85.7,0
669003,Garrett Mitchell,MIL,6,5,54.5,0
691026,Masyn Winn,STL,6,2,75.0,0
665019,Kody Clemens,MIN,6,2,75.0,0
663656,Kyle Tucker,LAD,6,0,100.0,0
686217,Sal Frelick,MIL,6,2,75.0,0
663757,Trent Grisham,NYY,6,1,85.7,0
683002,Gunnar Henderson,BAL,6,4,60.0,0
823550,Sung-Mun Song,SD,6,2,75.0,0
543807,George Springer,TOR,6,2,75.0,0
543760,Marcus Semien,NYM,6,2,75.0,0
681393,Connor Norby,MIA,6,3,66.7,0
671732,Lawrence Butler,ATH,6,3,66.7,0
808982,Jung Hoo Lee,SF,5,0,100.0,0
671739,Michael Harris II,ATL,5,1,83.3,0
663604,Brandon Lockridge,MIL,5,0,100.0,0
668804,Bryan Reynolds,PIT,5,0,100.0,0
671289,Tyler Freeman,COL,5,3,62.5,0
547180,Bryce Harper,PHI,5,3,62.5,0
641343,Jake Bauers,MIL,5,1,83.3,0
672580,Maikel Garcia,KC,5,3,62.5,0
691594,Javier Sanoja,MIA,5,1,83.3,0
592885,Christian Yelich,MIL,5,0,100.0,0
814439,Ryan Waldschmidt,AZ,5,1,83.3,0
671056,Iván Herrera,STL,5,0,100.0,0
808975,Hyeseong Kim,LAD,5,1,83.3,0
701675,Nathan Church,STL,5,2,71.4,0
667472,Dane Myers,CIN,5,0,100.0,0
806198,Cooper Pratt,MIL,5,0,100.0,0
592450,Aaron Judge,NYY,5,3,62.5,0
696100,Hunter Goodman,COL,5,2,71.4,0
664728,Kyle Isbel,KC,5,0,100.0,0
669707,Jared Triolo,PIT,5,1,83.3,0
810938,Ben Williamson,TB,5,1,83.3,0
681715,Heriberto Hernández,MIA,5,2,71.4,0
668904,Royce Lewis,MIN,5,0,100.0,0
678662,Ezequiel Tovar,COL,5,0,100.0,0
687401,Joey Ortiz,MIL,5,3,62.5,0
670770,TJ Friedl,CIN,5,0,100.0,0
669369,Bryce Johnson,SD,5,1,83.3,0
681546,James Outman,DET,5,2,71.4,0
691783,Jordan Lawlar,AZ,4,0,100.0,0
687859,Troy Johnston,COL,4,4,50.0,0
693304,Nick Gonzales,PIT,4,2,66.7,0
671976,Tristan Peters,CWS,4,2,66.7,0
672515,Gabriel Moreno,AZ,4,1,80.0,0
696030,Alejandro Osuna,TEX,4,2,66.7,0
690993,Colt Keith,DET,4,0,100.0,0
807713,Matt Shaw,CHC,4,1,80.0,0
686797,Brooks Lee,MIN,4,2,66.7,0
657757,Gavin Sheets,SD,4,0,100.0,0
687957,Dustin Harris,HOU,4,0,100.0,0
690924,Braxton Fulford,COL,4,0,100.0,0
596103,Austin Slater,TB,4,0,100.0,0
686555,Isaac Collins,KC,4,4,50.0,0
683357,Owen Caissie,MIA,4,1,80.0,0
664023,Ian Happ,CHC,4,0,100.0,0
666397,Edouard Julien,COL,4,3,57.1,0
691176,Jasson Domínguez,NYY,4,0,100.0,0
669326,Bryce Teodosio,LAA,4,1,80.0,0
663586,Austin Riley,ATL,4,1,80.0,0
682177,Daniel Schneemann,CLE,4,2,66.7,0
596115,Trevor Story,BOS,4,0,100.0,0
682622,Noelvi Marte,CIN,4,1,80.0,0
677950,Alek Thomas,AZ,4,0,100.0,0
695257,Billy Cook,PIT,4,1,80.0,0
670032,Nicky Lopez,TEX,3,1,75.0,0
668723,Ryan Vilade,TB,3,0,100.0,0
665877,José Fermín,STL,3,0,100.0,0
695506,Jac Caglianone,KC,3,1,75.0,0
607043,Brandon Nimmo,TEX,3,1,75.0,0
666176,Jo Adell,LAA,3,0,100.0,0
678009,Parker Meadows,DET,3,0,100.0,0
687637,Dylan Beavers,BAL,3,1,75.0,0
668715,Spencer Steer,CIN,3,0,100.0,0
571448,Nolan Arenado,AZ,3,0,100.0,0
668709,JJ Bleday,CIN,3,2,60.0,0
687231,Darell Hernaiz,ATH,3,0,100.0,0
691777,Max Muncy,ATH,3,2,60.0,0
641584,Jake Fraley,TB,3,0,100.0,0
682663,Agustín Ramírez,MIA,3,1,75.0,0
645302,Victor Robles,SEA,3,1,75.0,0
686469,Vinnie Pasquantino,KC,3,0,100.0,0
686611,Dylan Crews,WSH,3,0,100.0,0
678554,Curtis Mead,WSH,3,2,60.0,0
691785,Marcelo Mayer,BOS,3,0,100.0,0
642215,Weston Wilson,SEA,3,1,75.0,0
642201,Eli White,ATL,3,0,100.0,0
683146,Brett Baty,NYM,3,1,75.0,0
657041,Lane Thomas,KC,3,3,50.0,0
641857,Ryan McMahon,NYY,3,1,75.0,0
680757,Steven Kwan,CLE,3,1,75.0,0
650859,Luis Rengifo,MIL,3,2,60.0,0
592663,J.T. Realmuto,PHI,3,0,100.0,0
702616,Jackson Holliday,BAL,3,0,100.0,0
666969,Adolis García,PHI,3,0,100.0,0
672761,Wenceel Pérez,DET,3,1,75.0,0
663368,Blake Perkins,MIL,3,1,75.0,0
687749,Jase Bowen,SD,3,0,100.0,0
813841,Jonah Cox,SF,2,0,100.0,0
676391,Ernie Clement,TOR,2,1,66.7,0
518692,Freddie Freeman,LAD,2,0,100.0,0
663616,Trevor Larnach,MIN,2,1,66.7,0
670224,Kameron Misner,KC,2,1,66.7,0
676475,Alec Burleson,STL,2,0,100.0,0
805367,Chase Meidroth,CWS,2,2,50.0,0
685133,Wade Meckler,LAA,2,0,100.0,0
805779,Jacob Wilson,ATH,2,0,100.0,0
660688,Keibert Ruiz,WSH,2,1,66.7,0
606192,Teoscar Hernández,LAD,2,0,100.0,0
700250,Ben Rice,NYY,2,0,100.0,0
657136,Connor Wong,BOS,2,1,66.7,0
671277,Luis García Jr.,WSH,2,1,66.7,0
621566,Matt Olson,ATL,2,0,100.0,0
686681,Michael Massey,KC,2,0,100.0,0
643289,Mauricio Dubón,ATL,2,2,50.0,0
669127,Shea Langeliers,ATH,2,1,66.7,0
699393,Pedro Ramírez,CHC,2,0,100.0,0
800050,Chase DeLauter,CLE,2,1,66.7,0
669394,Jake Burger,TEX,2,0,100.0,0
621493,Taylor Ward,BAL,2,2,50.0,0
682848,Endy Rodríguez,PIT,2,0,100.0,0
691720,Kyle Karros,COL,2,0,100.0,0
609280,Miguel Andujar,SD,2,2,50.0,0
624413,Pete Alonso,BAL,2,0,100.0,0
669236,Jeremiah Jackson,BAL,2,1,66.7,0
