export_date,Slot,Team,Player,Pitcher,Grade,TrueHR,Matchup,ZF,Form (gHR),SimHR%,ISO,xwOBA,PulledBrl%,Brl/BIP%,HR/FB%,FB%,HH%,LA°,Barrel Signal
2026-07-05,,SEA,Cole Young,Trey Yesavage,,48,49,2.3,29.0,22.1%,0.242,0.322,4.0,25%,0.5,16.0,24.0,13.8,0
2026-07-05,,CWS,Randal Grichuk,Tanner Bibee,🤔 Average,47,70,8.9,21.0,0%,0.243,0.395,0.0,33.3%,0.0,27.3,36.4,12.9,0
2026-07-05,,ATL,Ozzie Albies,Nolan McLean,⚠️ Tough,47,41,2.3,25.0,15.4%,0.263,0.302,3.2,11%,0.222,29.0,19.4,17.0,0
2026-07-05,,PHI,Alec Bohm,Luinder Avila,💥 Hittable,47,49,2.5,25.0,20.2%,0.279,0.304,0.0,50%,0.499,15.4,42.3,13.2,0
2026-07-05,,MIA,Otto Lopez,Unknown (695611),,47,49,1.9,27.0,18%,0.32,0.325,0.0,0%,0.25,24.2,27.3,23.4,0
2026-07-05,,WSH,CJ Abrams,Bubba Chandler,💥 Hittable,47,64,3.2,19.0,11.8%,0.219,0.329,0.0,0%,0.201,19.2,19.2,19.8,0
2026-07-05,,CIN,Sal Stewart,Kyle Bradish,💥 Hittable,47,60,3.6,29.0,26%,0.293,0.342,0.0,22.4%,0.333,25.0,33.3,5.5,0
2026-07-05,,LAD,Freddie Freeman,JP Sears,,46,49,2.3,26.0,33.9%,0.252,0.382,0.0,0%,0.334,17.1,34.3,12.1,0
2026-07-05,,LAD,Andy Pages,JP Sears,💥 Hittable,46,68,2.6,28.0,23.9%,0.179,0.342,0.0,28.8%,0.143,18.4,23.7,27.4,0
2026-07-05,,CIN,Elly De La Cruz,Kyle Bradish,💥 Hittable,46,71,3.7,23.0,14.4%,0.129,0.358,0.0,0%,0.25,10.5,26.3,13.7,0
2026-07-05,,DET,Colt Keith,Kumar Rocker,,46,48,1.9,36.0,10.9%,0.171,0.315,4.8,16.8%,0.166,28.6,33.3,11.1,0
2026-07-05,,SD,Sung-Mun Song,Emmet Sheehan,🤔 Average,46,51,1.1,30.0,25.9%,0.302,0.272,0.0,0%,0.499,16.7,33.3,21.5,0
2026-07-05,,LAD,Teoscar Hernández,JP Sears,,45,57,1.6,24.0,18%,0.158,0.304,0.0,14.2%,0.143,31.8,27.3,20.9,0
2026-07-05,,LAD,Kyle Tucker,JP Sears,,45,39,1.8,37.0,13.5%,0.13,0.317,2.9,12.7%,0.125,22.9,22.9,20.1,0
2026-07-05,,PIT,Brandon Lowe,Cade Cavalli,🤔 Average,45,75,4.3,24.0,8.5%,0.171,0.356,0.0,0%,0.2,14.3,22.9,9.7,0
2026-07-05,,SEA,Randy Arozarena,Trey Yesavage,⚠️ Tough,45,37,2.3,19.0,17%,0.257,0.346,0.0,24.8%,0.5,12.9,29.0,18.4,0
2026-07-05,,LAD,Tommy Edman,JP Sears,,45,53,1.6,21.0,38%,0.239,0.37,0.0,0%,0.25,14.3,28.6,14.3,0
2026-07-05,,TEX,Josh Smith,Casey Mize,‼️ Elite,45,28,1.0,49.0,20.2%,0.334,0.29,10.0,33.3%,0.333,30.0,20.0,2.9,0
2026-07-05,,ATH,Colby Thomas,Eury Pérez,,45,39,3.9,27.0,15.4%,0.281,0.277,0.0,20%,0.4,25.0,35.0,20.9,0
2026-07-05,,STL,JJ Wetherholt,Javier Assad,,45,55,2.8,31.0,8.5%,0.152,0.371,0.0,0%,0.111,27.3,36.4,10.5,0
2026-07-05,,TEX,Elias Díaz,Casey Mize,,44,45,3.8,23.0,29%,0.295,0.279,0.0,14.4%,0.285,29.2,29.2,16.1,0
2026-07-05,,NYM,Francisco Lindor,Martín Pérez,🤔 Average,44,53,2.4,26.0,17.2%,0.28,0.38,0.0,0%,0.401,19.2,46.2,3.9,0
2026-07-05,,MIL,Gary Sánchez,Eduardo Rodriguez,,44,63,2.2,27.0,27.3%,0.269,0.378,0.0,25%,0.25,30.8,30.8,37.7,0
2026-07-05,,SF,Luis Arraez,Tanner Gordon,,44,50,1.2,28.0,19.4%,0.212,0.313,0.0,0%,0.111,31.0,24.1,22.6,0
2026-07-05,,LAD,Shohei Ohtani,JP Sears,,44,47,3.7,23.0,16.3%,0.149,0.396,0.0,0%,0.199,15.2,24.2,18.5,0
2026-07-05,,WSH,Keibert Ruiz,Bubba Chandler,💥 Hittable,44,64,2.4,29.0,0%,0.094,0.284,6.7,25.1%,0.0,26.7,33.3,6.1,0
2026-07-05,,STL,Lars Nootbaar,Javier Assad,🤔 Average,44,59,2.2,19.0,0%,0.087,0.354,4.3,19.8%,0.0,21.7,34.8,13.3,0
2026-07-05,,CLE,Bo Naylor,Chris Murphy,💥 Hittable,44,41,1.4,29.0,28.3%,0.259,0.298,0.0,0%,0.333,30.0,50.0,13.5,0
2026-07-05,,TB,Ryan Vilade,Peter Lambert,🤔 Average,44,56,3.9,23.0,28.7%,0.332,0.315,0.0,50%,0.5,20.0,30.0,26.3,0
2026-07-05,,MIN,Royce Lewis,Ryan Weathers,🤔 Average,44,67,4.1,25.0,10.9%,0.175,0.283,0.0,0%,0.125,26.7,26.7,14.7,0
2026-07-05,,MIA,Heriberto Hernandez,Unknown (695611),,44,66,3.3,19.0,11.2%,0.255,0.355,0.0,16.7%,0.167,24.0,32.0,9.9,0
2026-07-05,,AZ,Corbin Carroll,Brandon Sproat,💥 Hittable,44,66,2.8,17.0,0%,0.242,0.343,0.0,0%,0.0,3.3,16.7,17.0,0
2026-07-05,,MIA,Graham Pauley,Unknown (695611),,44,29,1.1,34.0,0%,0.184,0.238,10.0,50%,0.0,20.0,50.0,11.8,0
2026-07-05,,COL,Kyle Karros,Tyler Mahle,,44,56,2.0,25.0,29.1%,0.325,0.34,0.0,0%,0.333,18.2,30.3,8.2,0
2026-07-05,,DET,Dillon Dingler,Kumar Rocker,,44,77,5.3,19.0,0%,0.192,0.368,0.0,9.9%,0.0,33.3,26.7,10.7,0
2026-07-05,,HOU,Cam Smith,Mason Englert,,44,53,3.2,19.0,23.4%,0.304,0.33,0.0,19.8%,0.601,19.2,42.3,7.1,0
2026-07-05,,MIN,Byron Buxton,Ryan Weathers,🤔 Average,43,75,6.3,11.0,0%,0.17,0.356,0.0,0%,0.0,21.4,14.3,20.3,0
2026-07-05,,HOU,Taylor Trammell,Mason Englert,,43,63,3.3,29.0,14.7%,0.192,0.304,0.0,0%,0.167,26.1,21.7,12.9,0
2026-07-05,,NYM,Mark Vientos,Martín Pérez,🤔 Average,43,66,3.2,23.0,15.5%,0.239,0.324,0.0,33.5%,0.334,20.0,26.7,9.4,0
2026-07-05,,BAL,Adley Rutschman,Nick Lodolo,🎯 Target,43,60,3.3,25.0,0%,0.173,0.343,0.0,0%,0.0,28.6,19.0,16.1,0
2026-07-05,,ATH,Shea Langeliers,Eury Pérez,⚠️ Tough,43,49,4.5,21.0,6.4%,0.14,0.377,0.0,39.9%,0.2,20.8,25.0,15.6,0
2026-07-05,,WSH,José Tena,Bubba Chandler,💥 Hittable,43,47,1.2,23.0,19%,0.263,0.312,0.0,0%,0.996,6.7,46.7,11.6,0
2026-07-05,,SF,Jesus Rodriguez,Tanner Gordon,,43,77,6.2,25.0,46.7%,0.297,0.289,0.0,0%,0.333,30.0,20.0,6.9,0
2026-07-05,,CHC,Michael Busch,Matthew Liberatore,,43,47,2.6,23.0,11%,0.209,0.353,0.0,0%,0.25,24.2,15.2,22.1,0
2026-07-05,,KC,Isaac Collins,Aaron Nola,💥 Hittable,43,43,0.9,25.0,16.8%,0.269,0.313,0.0,0%,0.2,31.2,37.5,12.8,0
2026-07-05,,STL,Jordan Walker,Javier Assad,,43,56,3.3,19.0,16.5%,0.208,0.345,0.0,0%,0.5,7.7,26.9,22.9,0
2026-07-05,,COL,Sterlin Thompson,Tyler Mahle,,43,41,1.4,38.0,33.5%,0.384,0.302,0.0,0%,0.333,30.0,30.0,9.7,0
2026-07-05,,CLE,Chase DeLauter,Chris Murphy,💥 Hittable,43,52,1.1,17.0,0%,0.108,0.322,0.0,0%,0.0,16.1,45.2,18.4,0
2026-07-05,,HOU,Christian Walker,Mason Englert,,42,53,4.0,21.0,19.1%,0.18,0.307,0.0,0%,0.503,7.1,21.4,20.3,0
2026-07-05,,ATL,Mike Yastrzemski,Nolan McLean,⚠️ Tough,42,37,2.1,27.0,11.3%,0.189,0.313,0.0,0%,0.25,20.0,30.0,16.7,0
2026-07-05,,LAD,Mookie Betts,JP Sears,💥 Hittable,42,58,3.0,19.0,19.9%,0.223,0.335,0.0,14.2%,0.142,21.9,46.9,30.5,0
2026-07-05,,BAL,Tyler O'Neill,Nick Lodolo,🎯 Target,42,49,1.3,33.0,25.6%,0.357,0.298,0.0,33.3%,0.333,30.0,30.0,31.1,0
2026-07-05,,MIN,Trevor Larnach,Ryan Weathers,🤔 Average,42,53,2.6,27.0,11.2%,0.205,0.341,0.0,0%,0.143,23.3,40.0,9.5,0
2026-07-05,,MIA,Griffin Conine,Unknown (695611),,42,64,4.1,20.0,11%,0.163,0.348,0.0,0%,1.009,3.3,30.0,9.5,0
2026-07-05,,PIT,Bryan Reynolds,Cade Cavalli,🤔 Average,42,62,2.6,21.0,8.1%,0.163,0.358,0.0,0%,0.249,10.3,20.5,12.2,0
2026-07-05,,SF,Casey Schmitt,Tanner Gordon,,42,64,4.6,13.0,0%,0.095,0.35,0.0,0%,0.0,30.8,42.3,16.3,0
2026-07-05,,CIN,TJ Friedl,Kyle Bradish,💥 Hittable,42,42,1.8,30.0,20.8%,0.286,0.248,0.0,0%,0.2,27.8,22.2,18.1,0
2026-07-05,,TOR,Kazuma Okamoto,Emerson Hancock,,42,61,4.1,13.0,0%,0.218,0.345,0.0,0%,0.0,13.0,26.1,21.3,0
2026-07-05,,CLE,David Fry,Chris Murphy,,42,60,5.0,27.0,20.4%,0.345,0.276,0.0,33.2%,0.668,21.4,28.6,33.6,0
2026-07-05,,NYY,Jasson Domínguez,Joe Ryan,‼️ Elite,42,30,3.3,32.0,7.3%,0.168,0.282,3.7,14.3%,0.143,25.9,37.0,11.7,0
2026-07-05,,PHI,Trea Turner,Luinder Avila,,41,44,1.7,19.0,18.4%,0.237,0.281,0.0,0%,0.273,33.3,33.3,13.3,0
2026-07-05,,CHC,Carson Kelly,Matthew Liberatore,,41,65,2.0,11.0,0%,0.13,0.33,0.0,0%,0.0,21.4,21.4,21.9,0
2026-07-05,,CWS,Andrew Benintendi,Tanner Bibee,🤔 Average,41,59,2.4,13.0,0%,0.098,0.333,0.0,0%,0.0,16.7,37.5,17.3,0
2026-07-05,,SD,Fernando Tatis Jr.,Emmet Sheehan,🤔 Average,41,47,0.9,17.0,20.6%,0.207,0.354,0.0,16.5%,0.333,15.8,36.8,12.6,0
2026-07-05,,TB,Jonny DeLuca,Peter Lambert,,41,47,3.6,21.0,31.5%,0.287,0.272,0.0,0%,0.499,15.4,23.1,22.5,0
2026-07-05,,BOS,Anthony Seigler,Ryan Johnson,🎯 Target,41,61,1.8,19.0,34.5%,0.251,0.326,0.0,0%,0.25,16.7,20.8,8.5,0
2026-07-05,,DET,Spencer Torkelson,Kumar Rocker,,41,61,4.1,17.0,15.9%,0.239,0.317,0.0,16.4%,0.333,20.7,34.5,8.0,0
2026-07-05,,AZ,Adrian Del Castillo,Brandon Sproat,💥 Hittable,41,67,3.3,30.0,23.7%,0.173,0.276,0.0,0%,0.25,28.6,14.3,11.2,0
2026-07-05,,ATL,Drake Baldwin,Nolan McLean,⚠️ Tough,41,40,4.1,20.0,0%,0.2,0.389,3.2,24.8%,0.0,12.9,22.6,14.1,0
2026-07-05,,STL,Thomas Saggese,Javier Assad,,41,45,2.6,36.0,15.6%,0.518,0.301,0.0,0%,0.5,20.0,20.0,10.3,0
2026-07-05,,KC,Jac Caglianone,Aaron Nola,,41,68,3.5,15.0,0%,0.202,0.386,0.0,0%,0.0,5.0,45.0,1.1,0
2026-07-05,,CLE,Kyle Manzardo,Chris Murphy,💥 Hittable,41,40,3.1,35.0,10.1%,0.134,0.295,4.0,16.7%,0.167,24.0,16.0,10.5,0
2026-07-05,,NYY,Giancarlo Stanton,Joe Ryan,‼️ Elite,40,36,3.3,12.0,0%,0.113,0.364,0.0,0%,0.0,10.0,50.0,23.9,0
2026-07-05,,SD,Manny Machado,Emmet Sheehan,,40,47,3.4,24.0,21.1%,0.333,0.317,0.0,9.9%,0.3,29.4,26.5,5.5,0
2026-07-05,,NYM,Tyrone Taylor,Martín Pérez,🤔 Average,40,51,2.4,30.0,27.6%,0.274,0.269,0.0,33.3%,0.333,27.3,18.2,14.1,0
2026-07-05,,BAL,Pete Alonso,Nick Lodolo,🎯 Target,40,68,3.4,16.0,10%,0.218,0.391,0.0,16.5%,0.167,20.0,26.7,6.5,0
2026-07-05,,TOR,Nathan Lukes,Emerson Hancock,,40,50,1.1,19.0,25.5%,0.123,0.301,0.0,0%,0.333,10.0,20.0,20.9,0
2026-07-05,,WSH,Andrés Chaparro,Bubba Chandler,💥 Hittable,40,20,0.0,18.0,10.7%,0.238,0.361,0.0,0%,0.5,20.0,40.0,20.4,0
2026-07-05,,CIN,Spencer Steer,Kyle Bradish,💥 Hittable,40,59,3.4,12.0,0%,0.184,0.327,0.0,0%,0.0,12.5,33.3,14.7,0
2026-07-05,,AZ,Jorge Barrosa,Brandon Sproat,,40,40,2.2,37.0,32.3%,0.367,0.226,0.0,0%,0.25,40.0,40.0,8.1,0
2026-07-05,,CWS,Sam Antonacci,Tanner Bibee,🤔 Average,40,55,1.5,31.0,9.4%,0.168,0.363,0.0,0%,0.111,31.0,27.6,1.7,0
2026-07-05,,NYM,A.J. Ewing,Martín Pérez,🤔 Average,40,34,0.5,35.0,8.5%,0.146,0.343,4.2,14.4%,0.143,29.2,29.2,9.7,0
2026-07-05,,LAA,Jorge Soler,Ranger Suárez,,39,55,2.6,15.0,0%,0.182,0.301,0.0,0%,0.0,25.0,20.8,20.2,0
2026-07-05,,TOR,Daulton Varsho,Emerson Hancock,,39,53,2.3,19.0,0%,0.117,0.293,0.0,0%,0.0,27.3,22.7,19.1,0
2026-07-05,,TB,Jonathan Aranda,Peter Lambert,,39,63,2.3,22.0,19.1%,0.142,0.362,0.0,0%,0.25,12.9,22.6,6.5,0
2026-07-05,,LAA,Josh Lowe,Ranger Suárez,⚠️ Tough,39,18,0.7,40.0,14.5%,0.322,0.288,0.0,0%,0.222,42.9,38.1,28.7,0
2026-07-05,,SD,Luis Campusano,Emmet Sheehan,,39,82,5.4,15.0,4.5%,0.296,0.309,0.0,,,0.0,0.0,10.1,0
2026-07-05,,PHI,Gabriel Rincones Jr.,Luinder Avila,,39,38,2.2,35.0,13.7%,0.179,0.199,5.0,25%,0.25,20.0,20.0,28.3,0
2026-07-05,,MIL,Christian Yelich,Eduardo Rodriguez,,38,41,2.2,30.0,10.9%,0.121,0.311,7.1,49.7%,0.25,14.3,21.4,-6.5,0
2026-07-05,,TB,Yandy Díaz,Peter Lambert,,38,61,2.9,15.0,0%,0.169,0.382,0.0,0%,0.0,7.7,46.2,4.3,0
2026-07-05,,HOU,Isaac Paredes,Mason Englert,,38,47,3.7,21.0,13.6%,0.132,0.321,0.0,0%,0.125,25.8,19.4,23.5,0
