player_id,name,team,sprint_speed,hp_to_1b,bolts,competitive_runs
665487,Fernando Tatis Jr.,SD,28.9,4.32,21.0,176
686894,Joey Wiemer,WSH,28.9,4.27,1.0,31
807727,Charles McAdoo,TOR,28.9,nan,nan,9
694497,Evan Carter,TEX,28.8,4.15,29.0,98
686668,Brenton Doyle,COL,28.8,4.34,7.0,47
813841,Jonah Cox,SF,28.8,nan,2.0,6
814439,Ryan Waldschmidt,AZ,28.8,4.31,1.0,60
685133,Wade Meckler,LAA,28.8,4.12,14.0,69
693304,Nick Gonzales,PIT,28.8,4.32,7.0,193
677594,Julio Rodríguez,SEA,28.8,4.33,21.0,140
691783,Jordan Lawlar,AZ,28.8,nan,3.0,10
694249,Cole Carrigg,COL,28.8,4.26,5.0,64
807712,Luke Keaschall,MIN,28.8,4.25,1.0,161
666181,Will Benson,CIN,28.8,nan,6.0,24
808975,Hyeseong Kim,LAD,28.8,4.09,nan,52
680869,Zack Gelof,ATH,28.8,4.36,6.0,93
691594,Javier Sanoja,MIA,28.7,4.22,18.0,145
663368,Blake Perkins,MIL,28.7,4.29,3.0,51
806198,Cooper Pratt,MIL,28.7,4.4,1.0,50
694192,Jackson Chourio,MIL,28.7,4.23,28.0,123
686217,Sal Frelick,MIL,28.7,4.24,15.0,142
694728,Brice Matthews,HOU,28.6,4.35,1.0,66
691176,Jasson Domínguez,NYY,28.6,4.27,11.0,68
624641,Edmundo Sosa,PHI,28.6,4.4,12.0,65
671976,Tristan Peters,CWS,28.6,4.26,5.0,133
670042,Luke Raley,SEA,28.6,4.31,nan,78
683766,Christian Koss,SF,28.6,4.35,nan,23
695490,Edwin Arroyo,CIN,28.6,4.32,nan,35
687957,Dustin Harris,HOU,28.6,4.19,nan,23
668930,Brice Turang,MIL,28.6,4.29,1.0,186
672724,Oswald Peraza,LAA,28.6,4.39,nan,97
680574,Matt McLain,CIN,28.6,4.33,nan,75
681715,Heriberto Hernández,MIA,28.6,4.37,nan,87
645302,Victor Robles,SEA,28.6,4.36,8.0,45
545361,Mike Trout,LAA,28.5,4.42,5.0,113
650559,Bryan De La Cruz,PHI,28.5,nan,nan,7
668723,Ryan Vilade,TB,28.5,4.47,nan,62
663330,Jahmai Jones,BOS,28.5,4.37,nan,32
690984,Petey Halpin,CLE,28.5,4.33,nan,34
668715,Spencer Steer,CIN,28.5,4.44,1.0,121
701807,Carson Benge,NYM,28.5,4.27,2.0,154
681082,Bryson Stott,PHI,28.5,4.26,2.0,138
682928,CJ Abrams,WSH,28.5,4.29,10.0,134
642708,Amed Rosario,NYY,28.5,4.41,3.0,53
682829,Elly De La Cruz,CIN,28.5,4.35,8.0,126
672016,Denzel Clarke,ATH,28.5,4.31,4.0,21
695731,Braden Montgomery,CWS,28.5,4.32,nan,74
701675,Nathan Church,STL,28.4,4.26,nan,120
696030,Alejandro Osuna,TEX,28.4,4.21,nan,93
678489,Jorge Barrosa,AZ,28.4,nan,2.0,45
672640,Otto Lopez,MIA,28.4,4.21,3.0,236
