Team,Batter ID,Player Name,Position,Injury Description,Expected Return,Severity,Status
AZ,694371,Tommy Troy,LF,Sprained right AC joint.,,🟡,Injured 10-Day
AZ,668678,Zac Gallen,P,Right elbow inflammation.,,🟡,Injured 60-Day
BAL,677942,Blaze Alexander,3B,Left hand fracture.,,🔴,Injured 10-Day
BAL,681882,Colin Selby,P,Right shoulder inflammation.,,🟡,Injured 60-Day
BAL,642585,Félix Bautista,P,Right shoulder surgery.,,🔴,Injured 60-Day
BAL,676059,Jordan Westburg,3B,Right elbow UCL sprain.,,🟡,Injured 60-Day
BAL,669211,Keegan Akin,P,Left elbow discomfort,,⚪,Injured 60-Day
BAL,664854,Ryan Helsley,P,Right elbow discomfort.,,⚪,Injured 60-Day
BAL,663624,Ryan Mountcastle,1B,Left foot fracture,,🔴,Injured 60-Day
BAL,641933,Tyler O'Neill,RF,Right shoulder inflammation.,,🟡,Injured 10-Day
BAL,621107,Zach Eflin,P,Right elbow discomfort.,,⚪,Injured 60-Day
BOS,678554,Curtis Mead,3B,Left wrist tracture,,⚪,Injured 10-Day
BOS,676979,Garrett Crochet,P,Left shoulder inflammation.,,🟡,Injured 60-Day
BOS,676477,Garrett Whitlock,P,Right elbow inflammation.,,🟡,Injured 15-Day
BOS,643396,Isiah Kiner-Falefa,2B,Injured 60-Day,,⚪,Injured 60-Day
BOS,670912,Johan Oviedo,P,Right elbow strain..,,🟡,Injured 60-Day
BOS,686580,Justin Slaten,P,Right elbow inflammation.,,🟡,Injured 15-Day
BOS,676710,Kutter Crawford,P,Right wrist surgery,,🔴,Injured 60-Day
BOS,807799,Masataka Yoshida,DH,Left hamstring strain.,,🟡,Injured 10-Day
BOS,701350,Roman Anthony,LF,Injured 60-Day,,⚪,Injured 60-Day
BOS,656557,Tanner Houck,P,Injured 60-Day,,⚪,Injured 60-Day
BOS,596115,Trevor Story,SS,Sports hernia.,,⚪,Injured 60-Day
BOS,671213,Triston Casas,1B,Recovery from left patellar tendon repair,,⚪,Injured 60-Day
BOS,677161,Zack Kelly,P,Right elbow inflammation.,,🟡,Injured 60-Day
CHC,676962,Ben Brown,P,Neck strain.,,🟡,Injured 60-Day
CHC,690990,Cade Horton,P,Right forearm strain.,,🟡,Injured 60-Day
CHC,621020,Dansby Swanson,SS,Left oblique strain.,,🟡,Injured 10-Day
CHC,665795,Edward Cabrera,P,Right middle finger blister.,,⚪,Injured 15-Day
CHC,668970,Gavin Hollowell,P,Right shoulder inflammation.,,🟡,Injured 15-Day
CHC,571948,Hoby Milner,P,Appendicitis,,⚪,Injured 15-Day
CHC,640451,Hunter Harvey,P,Right triceps inflammation.,,🟡,Injured 60-Day
CHC,657006,Justin Steele,P,Left elbow injury,,⚪,Injured 60-Day
CHC,664208,Phil Maton,P,Right knee tendinitis.,,⚪,Injured 60-Day
CHC,687863,Porter Hodge,P,Right elbow strain,,🟡,Injured 60-Day
CHC,702303,Riley Martin,P,Left elbow inflammation.,,🟡,Injured 60-Day
CHC,571946,Shelby Miller,P,Right Elbow UCL Injury,,⚪,Injured 60-Day
CHC,592122,Tyler Austin,1B,Right knee surgery.,,🔴,Injured 60-Day
CIN,694362,Blake Dunn,CF,Right elbow sprain.,,🟡,Injured 60-Day
CIN,682227,Brandon Williamson,P,Left shoulder fatigue.,,⚪,Injured 60-Day
CIN,668933,Graham Ashcraft,P,Right forearm UCL sprain.,,🟡,Injured 60-Day
CIN,668881,Hunter Greene,P,Right elbow soreness.,,🟡,Injured 60-Day
CIN,663647,Ke'Bryan Hayes,3B,Left groin strain.,,🟡,Injured 10-Day
CIN,669911,Michael Toglia,1B,Right shoulder dislocation.,,⚪,Injured 10-Day
CIN,668715,Spencer Steer,1B,Right wrist sprain,,🟡,Injured 10-Day
CLE,656555,Rhys Hoskins,1B,Lower back inflammation.,,🟡,Injured 10-Day
CLE,542888,Shawn Armstrong,P,Left calf strain.,,🟡,Injured 60-Day
CLE,677944,Slade Cecconi,P,Right forearm inflammation.,,🟡,Injured 15-Day
COL,801403,Chase Dollander,P,Right elbow strain.,,🟡,Injured 60-Day
COL,500779,Jose Quintana,P,Left elbow sprain.,,🟡,Injured 60-Day
COL,592178,Kris Bryant,DH,Lumbar degenerative disk disease.,,⚪,Injured 60-Day
COL,607536,Kyle Freeland,P,Cervical radiculopathy.,,⚪,Injured 15-Day
COL,691720,Kyle Karros,3B,Concussion.,,⚪,Injured 7-Day
COL,685326,McCade Brown,P,Right shoulder inflammation.,,🟡,Injured 60-Day
COL,701487,Pierson Ohl,P,Injured 60-Day,,⚪,Injured 60-Day
COL,807743,Sean Sullivan,P,Injured 15-Day,,⚪,Injured 15-Day
COL,700327,Welinton Herrera,P,Left elbow inflammation.,,🟡,Injured 60-Day
CWS,681460,Brooks Baldwin,LF,Right elbow sprain,,🟡,Injured 60-Day
CWS,669684,Chris Murphy,P,Left flexor strain.,,🟡,Injured 15-Day
CWS,663436,Davis Martin,P,Right middle finger blister.,,⚪,Injured 15-Day
CWS,689672,Drew Thorpe,P,Recovery from Tommy John surgery.,,🔴,Injured 60-Day
