Team,Batter ID,Player Name,Position,Injury Description,Expected Return,Severity,Status
TOR,702056,Trey Yesavage,P,Left knee inflammation.,,🟡,Injured 15-Day
TOR,554340,Yimi García,P,Right elbow ulnar nerve and AC joint surgery.,,🔴,Injured 60-Day
WSH,813349,Connelly Early,P,Left elbow inflammation.,,🟡,Injured 60-Day
WSH,687792,DJ Herz,P,Injured 60-Day,,⚪,Injured 60-Day
WSH,686452,Drew Millas,C,Left index finger fracture.,,🔴,Injured 10-Day
WSH,695578,James Wood,RF,Left oblique strain.,,🟡,Injured 10-Day
WSH,680686,Josiah Gray,P,Right flexor strain.,,🟡,Injured 60-Day
WSH,686610,Ken Waldichuk,P,Left forearm tightness.,,🟢,Injured 60-Day
WSH,680730,Mitchell Parker,P,Left elbow inflammation.,,🟡,Injured 60-Day
WSH,676571,PJ Poulin,P,Left flexor strain.,,🟡,Injured 60-Day
WSH,663992,Richard Lovelady,P,Left triceps strain.,,🟡,Injured 60-Day
